Appointment_Appointment_ID,Task_Task_ID
882925,261135
679994,142297
153948,808152
300283,577443
740595,942380
319270,443347
725036,712150
615531,962590
822907,102509
723524,446032
694335,852830
986100,111267
377388,808152
271770,879203
547346,150230
273004,261135
951290,866022
581115,111267
329176,205430
412327,254508
256941,268233
765585,684000
403121,296266
936738,386538
479817,436027
220631,296369
224664,684000
725036,693191
788652,896963
457225,929063
815902,111267
440746,735248
600719,764900
311726,218149
577952,205430
128059,588539
953665,397058
679694,397058
732357,834103
864102,570340
487245,472877
395078,938629
163310,943691
226866,798472
114357,534309
521319,262259
657380,570340
454054,104805
311007,932825
923564,388015
347232,735248
860395,176903
737140,436027
412327,383664
614624,533344
560274,131388
339828,927301
425995,852830
568939,639427
371477,346237
344380,612236
464578,173767
387411,436027
240320,791446
874846,896963
700658,934335
723297,796159
123496,613419
466986,677811
181821,296369
887322,476515
328361,965991
386405,466498
452609,448521
498936,722138
172622,307970
361365,870816
872501,778336
225206,197547
264040,201955
484451,736044
377388,896963
694335,879203
975558,476515
963690,111267
400064,577262
240320,156309
349228,337373
898394,896963
537567,607219
723297,292587
864102,175170
100480,613419
803161,927301
791666,927301
115498,333809
808595,417327
527514,639427
121394,505002
975558,370878
707107,307970
895113,665661
146277,505816
395078,218149
444900,627308
821128,378345
299845,534309
777173,943691
959469,964664
830112,845609
172622,254561
940100,851477
129538,468538
613430,642030
364670,929063
521319,577262
100480,176903
732357,337373
128059,457231
121394,936648
692286,425587
840901,766626
220631,472877
417960,764900
387411,244067
146319,330342
119347,571102
466986,455193
462854,364554
723524,232749
765585,232749
369970,726637
680745,574239
755669,642030
100480,577262
859410,928420
846484,330788
191745,895754
349228,670387
617380,927301
891358,505002
234705,834103
