Task_Task_ID1,Task_Task_ID2
250119,244067
574239,726895
296011,262259
860955,330342
534309,926686
743829,244350
717697,954653
573846,840792
627169,573846
912692,642030
254508,310811
751985,896629
364554,386538
527275,577443
292587,262259
677811,570340
860955,364554
642030,466498
430461,929063
722138,417327
574239,900250
104805,693191
476515,260961
573846,938629
726637,612236
942380,337373
133641,589680
383664,627308
751985,627169
743829,232749
684000,250119
581637,454579
292587,773661
131486,333809
607219,444862
722047,612810
684000,388015
769999,574239
131486,851477
852830,464673
612810,472877
866022,367123
448521,790808
142600,577262
879783,570340
860955,310811
250119,534309
851477,367123
505816,668430
533344,292587
665661,852830
929063,773661
712150,260961
726895,430461
819280,736044
346237,639427
254489,476515
280575,798472
476515,565840
577443,875519
938629,693810
546596,133641
478281,896963
292587,615522
932825,425587
929063,860123
425587,895754
197547,464673
912692,589680
610582,533344
269491,156309
124258,325924
851477,612236
296011,613076
670387,680738
346237,503121
142297,573846
292587,133641
773661,296266
764900,965991
642218,693810
670387,773661
712150,503121
466438,732617
307970,113657
680738,693810
735248,693191
968596,240523
932825,968596
505002,478281
240523,364554
325924,124258
790808,942380
355176,866022
828627,895754
777069,571102
769999,331368
367123,113657
834103,268514
218149,113938
896629,613076
261135,443347
150230,337173
954653,292587
296266,896629
113657,468538
853777,268514
860123,337173
712150,965991
746407,156309
269491,828627
386538,764900
113938,639427
268514,798472
505816,573846
968596,612236
397058,726637
819280,577443
466498,268233
573846,468538
827376,712150
509320,722047
142297,968596
936648,819280
612236,576780
717697,995569
388015,430461
736044,331368
639427,712150
330788,244350
454579,773328
670387,639427
828627,943691
827376,201955
337173,879783
333809,425587
446032,936648
681418,683840
133641,269491
104805,610582
599985,237480
954653,397058
840792,589680
790808,613419
845609,726895
866022,565840
364554,683840
337373,627308
330093,142297
218149,932825
133641,444862
929063,912692
995569,205430
574239,370878
268514,325924
840792,175170
670387,268233
378345,573846
397058,205430
995569,942380
927301,577262
268233,505816
912692,113657
876570,573846
722138,677811
468538,840792
764900,732617
150230,773328
131486,751985
968596,732617
262259,113657
337173,581637
777069,113657
218149,845609
677811,693810
574239,261135
268514,472778
479901,574239
378345,766626
254561,640296
819280,876570
296011,860123
232749,866022
201955,466438
176903,612236
386538,851477
179663,330342
769999,769999
102509,577443
610582,769999
627308,378345
417327,457231
472877,250119
791446,640296
828627,942380
307970,388015
927301,284879
443347,995569
911582,131486
938629,330788
337173,726895
942380,260961
852830,176903
268233,932825
422825,796159
325924,254561
571102,104805
570162,268514
896629,262259
834103,383664
936648,693532
735248,693532
