Part_ID,Cost_Of_Part,Name,Task_Task_ID
504509,20.35,Krona,579681
578194,95.07,Yen,260961
386471,75.02,Peso,665661
821078,86.69,Yuan Renminbi,179663
863983,44.68,Real,367123
610575,63.79,Hryvnia,722138
383509,22.9,Peso,845609
965378,29.16,Dollar,570162
937645,12.33,Sol,808152
856128,16.05,Yuan Renminbi,307970
838648,71.65,Rupiah,627169
810387,25.57,Peso,330788
945168,2.57,Baht,627169
752788,2.28,Euro,111267
291828,83.2,Zloty,895754
507944,47.15,Yuan Renminbi,736044
182268,58.48,Rand,896963
442017,83.34,Rupiah,472877
797250,7.83,Euro,576780
893921,14.6,Krone,472778
636734,37.31,Peso,791446
827962,59.71,Yuan Renminbi,333809
607854,93.33,Ruble,615522
550608,40.37,Euro,331368
670291,49.48,Peso,150230
631298,96.96,Koruna,693810
182971,95.65,Yuan Renminbi,665661
998117,80.77,Rupiah,250119
308004,20.51,Euro,466498
165904,24.04,Dollar,774573
624429,14.22,Zloty,156309
203569,54.99,Krona,743829
992767,4.16,Zloty,612236
376846,86.77,Naira,197547
315034,27.2,Rupiah,330342
658559,44.67,Cordoba,665661
627437,53.44,Ruble,683840
618414,23.01,Dollar,670387
241144,43.01,Peso,693191
689804,2.13,Dollar,472877
485796,85.73,Krona,254508
838243,82.23,Peso,240523
201313,32.02,Dollar,640296
616585,33.39,Yuan Renminbi,570340
817301,36.36,Rial,808152
352716,17.06,Yuan Renminbi,876570
958691,88.65,Rupiah,386538
164673,20.5,Dollar,834103
358491,95.94,Shilling,642030
562904,22.45,Baht,746407
688296,72.12,Yuan Renminbi,111267
856154,48.39,Euro,254508
731518,22.61,Euro,732617
682750,2.23,Dollar,640296
933274,56.22,Yuan Renminbi,205430
400281,41.76,Won,479901
872776,55.86,Rupiah,627169
609435,11.54,Zloty,860955
582825,35.1,Dollar,875519
241272,18.59,Yuan Renminbi,866022
330992,68.67,Shilling,307970
722629,92.0,Yuan Renminbi,367123
953738,97.99,Yuan Renminbi,104805
718052,83.92,Afghani,254508
686753,34.34,Peso,612236
370371,61.26,Tugrik,422825
357753,39.61,Tugrik,570162
262384,83.03,Tenge,766626
827531,52.95,Yuan Renminbi,912692
273568,39.62,Kuna,466438
482115,67.57,Hryvnia,133641
913485,97.32,Sol,615522
782568,48.71,Peso,268233
721011,43.11,Loti,851477
646869,39.74,Yuan Renminbi,503121
383055,69.15,Krona,827376
226206,21.39,Hryvnia,448521
578960,34.79,Cordoba,693532
845093,93.98,Zloty,968596
152107,54.28,Rupiah,330093
146099,40.91,Naira,386538
523905,23.69,Rupiah,388015
608476,93.5,Zloty,527275
199627,54.2,Krona,665661
620472,50.25,Euro,773328
799239,78.9,Yuan Renminbi,333809
878175,92.02,Pound,639427
124601,48.3,Euro,292587
499515,83.05,Rupiah,726895
287311,18.47,Peso,879203
526645,95.08,Rupiah,151478
918815,73.91,Euro,331368
310686,26.97,Sol,472778
537666,86.31,Pound,176903
314971,39.83,Euro,378345
999334,53.5,Leone,364554
378518,82.42,Bolivar,942380
841042,87.64,Dollar,895754
511354,26.25,Rial,680738
799325,53.19,Quetzal,860955
614217,21.77,Euro,840792
717671,95.33,Dollar,333809
610036,14.44,Yuan Renminbi,509320
691236,3.53,Rupiah,995569
396242,86.9,Peso,574239
520515,84.06,Zloty,261135
493053,71.67,Euro,936648
739660,47.94,Yen,268233
455494,16.05,Real,197547
946414,32.1,Ringgit,773661
280729,12.39,Peso,928420
353202,69.23,Euro,693810
815480,12.42,Peso,113657
364920,12.02,Pa'anga,330342
406814,69.64,Real,378345
736792,57.44,Yen,936648
830143,8.58,Zloty,218149
659878,15.16,Naira,640296
223329,56.38,Real,254508
212927,6.66,Naira,346237
727094,50.13,Kwacha,205430
609215,23.53,Dollar,627308
320717,94.17,Dollar,218149
318622,49.12,Afghani,457231
577588,21.15,Euro,577262
628148,64.26,Ruble,852830
455381,76.01,Dollar,280696
636379,3.66,Yuan Renminbi,764900
560602,90.73,Zloty,240523
827832,62.09,Sol,912692
180114,73.16,Euro,743829
653300,60.15,Peso,927301
134453,64.23,Real,455193
148990,26.13,Franc,151478
325743,74.98,Ruble,683840
656955,57.78,Lempira,875519
269904,41.75,Rupee,573846
229496,2.06,Naira,466498
619273,90.36,Ruble,642030
918804,18.26,Koruna,876570
214102,68.87,Denar,853777
764982,57.55,Dong,176903
118758,17.93,Baht,250119
727701,26.79,Euro,479901
849753,11.35,Rupiah,746407
180921,76.99,Peso,124258
904002,52.6,Peso,627308
765530,4.62,Yuan Renminbi,173767
312235,18.26,Boliviano,879783
529564,5.41,Ruble,712150
731340,6.79,Yuan Renminbi,932825
999062,25.43,Peso,834103
310650,83.16,Peso,133641
462492,59.86,Euro,330093
683988,37.59,Rupiah,964664
381842,81.32,Yuan Renminbi,111267
112834,54.19,Sol,610582
904839,38.11,Ruble,201955
940545,9.72,Real,576780
441478,11.68,Hryvnia,142600
973635,98.06,Rupiah,574239
949452,31.55,Cordoba,325924
326777,83.24,Tugrik,386538
895326,17.35,Real,683840
338706,67.91,Euro,533344
155906,19.36,Dirham,142297
314634,75.84,Rupiah,422825
211238,33.85,Euro,436027
659089,41.87,Manat,934335
166235,7.16,Euro,331368
113148,94.23,Ruble,834103
863767,49.12,Yuan Renminbi,131388
149152,57.15,Baht,150230
796303,90.57,Real,254489
985687,13.26,Peso,457231
263195,9.65,Ruble,254508
165800,94.92,Koruna,613419
815699,18.09,Ruble,124258
722038,51.53,Zloty,307970
371339,19.28,Rupiah,912692
467617,23.57,Yen,176903
132751,5.35,Yuan Renminbi,466498
610302,37.54,Yuan Renminbi,478281
491003,95.16,Yuan Renminbi,330788
303605,74.29,Krona,527275
542684,75.79,Dollar,254561
552065,50.62,Baht,726895
952799,28.28,Naira,827376
664534,63.51,Peso,726895
503086,89.41,Peso,285463
290758,67.19,Yuan Renminbi,627308
899393,20.05,Dollar,218149
262501,31.46,Krone,968596
929859,3.31,Rial,417327
284455,57.89,Yuan Renminbi,330342
909392,92.61,Hryvnia,613419
232680,1.75,Taka,422825
787358,31.46,Rupiah,280575
935183,74.39,Yuan Renminbi,150230
212413,77.19,Dollar,769999
865534,35.82,Euro,751985
426634,85.5,Rupiah,104805
391474,28.41,Yuan Renminbi,684000
974256,56.76,Euro,280575
339059,74.3,Ruble,430461
762489,51.06,Peso,613419
419617,66.0,Peso,505816
247725,66.48,Krona,364554
915947,64.59,Real,827376
325457,96.88,Real,505002
183711,72.9,Sol,736044
320305,8.29,Peso,681418
705999,89.45,Rupiah,364554
178990,51.44,Krona,156309
936072,68.15,Franc,370878
269677,88.98,Yuan Renminbi,131388
908162,37.22,Krona,193948
138844,43.4,Yuan Renminbi,254561
725602,62.59,Peso,472778
355042,16.24,Euro,307970
599473,5.63,Naira,296011
822794,50.94,Ruble,599985
690270,79.58,Yuan Renminbi,446032
997976,16.01,Rupiah,232749
459675,48.17,Ruble,683840
154119,84.25,Yuan Renminbi,446032
922482,19.28,Peso,244350
249029,88.42,Peso,425587
415417,57.6,Yuan Renminbi,102509
829970,33.44,Yuan Renminbi,870816
395718,4.88,Euro,275779
430904,66.52,Rupiah,113938
662679,63.72,Yuan Renminbi,819280
761489,57.86,Rupiah,476515
902540,70.87,Zloty,642218
518982,88.15,Shilling,425587
991630,44.51,Baht,430461
863220,66.5,Baht,773661
146207,13.75,Shilling,509320
146712,14.7,Dollar,577443
156855,35.0,Peso,693810
973366,31.63,Koruna,260961
404941,77.17,Dinar,285463
779181,62.98,Rupiah,331368
538006,29.78,Rupiah,325924
905534,31.91,Koruna,642030
206240,62.56,Yuan Renminbi,218149
774284,36.44,Yuan Renminbi,337173
247831,67.3,Euro,280696
133810,40.54,Euro,693532
125180,94.0,Lempira,866022
552332,88.89,Euro,834103
398890,79.72,Rupiah,175170
958502,43.36,Yen,244067
553998,21.49,Koruna,250119
759525,68.7,Euro,156309
874128,84.67,Ruble,938629
643261,9.68,Zloty,505002
413191,85.44,Dollar,397058
655749,35.22,Zloty,798472
327953,46.6,Ruble,254508
979651,49.86,Yuan Renminbi,422825
740352,34.88,Yuan Renminbi,912692
585743,34.89,Zloty,533344
609477,78.75,Peso,131388
430527,60.69,Yuan Renminbi,640296
887392,59.81,Rupiah,124258
128302,8.11,Peso,268233
764210,67.87,Yuan Renminbi,879203
862360,64.6,Ruble,576780
330089,2.72,Peso,476515
941664,93.83,Yuan Renminbi,774573
743323,21.15,Rupiah,722047
449020,91.61,Euro,942380
917107,16.53,Euro,383664
621119,73.12,Tenge,828627
235383,97.58,Euro,292587
118047,22.45,Krona,589680
154610,20.89,Euro,670387
508664,16.5,Yuan Renminbi,102509
578400,27.51,Yuan Renminbi,853777
896208,47.02,Yuan Renminbi,938629
132237,75.56,Sol,860955
405146,25.67,Baht,964664
476889,92.55,Shekel,968596
649900,77.56,Dong,254561
460205,30.18,Yen,670387
115853,95.76,Hryvnia,642218
674694,5.0,Shekel,613076
865003,58.02,Yuan Renminbi,828627
362173,76.04,Euro,577262
551474,16.67,Yuan Renminbi,796159
912158,2.41,Euro,929063
663323,60.05,Yen,176903
604623,85.83,Zloty,509320
620286,23.98,Yen,150230
374122,88.98,Yuan Renminbi,476515
258875,18.76,Dirham,860123
210233,8.72,Peso,367123
425162,17.69,Ruble,896629
180375,8.27,Yuan Renminbi,693532
416304,84.63,Dram,260961
393866,95.57,Peso,732617
712797,34.84,Yuan Renminbi,769999
359099,53.32,Yuan Renminbi,808152
890796,56.57,Hryvnia,102509
277784,96.49,Ruble,670387
922568,30.5,Euro,766626
282309,66.31,Yuan Renminbi,599985
677225,94.91,Dollar,819280
518502,70.25,Krona,870816
654878,28.59,Yuan Renminbi,577262
343638,17.3,Euro,791446
676239,61.0,Peso,938629
832291,5.52,Hryvnia,262259
556107,87.51,Rupee,613076
273845,95.19,Peso,296369
450100,10.86,Peso,677811
415155,41.06,Euro,860955
454980,16.68,Peso,570340
784502,76.29,Yuan Renminbi,175170
586620,96.7,Rupiah,476515
660371,41.18,Real,240523
243519,41.69,Peso,111267
296077,52.07,Cordoba,131388
881547,85.09,Rupiah,773328
560757,62.51,Yuan Renminbi,589680
797717,22.96,Peso,296266
233355,25.92,Yuan Renminbi,131388
764997,93.04,Peso,565840
985096,32.95,Krona,156309
600083,86.88,Dollar,104805
765084,49.08,Yuan Renminbi,640296
373479,27.53,Yen,337373
696250,97.31,Krona,693810
428036,55.17,Yuan Renminbi,268233
162955,7.01,Pound,612236
662963,15.4,Yuan Renminbi,928420
211233,43.13,Lari,464673
392081,72.24,Rupee,504353
336103,34.01,Rupiah,926686
314755,35.93,Yuan Renminbi,479901
160357,21.7,Koruna,827376
659604,57.97,Real,879203
114786,46.44,Dram,995569
952795,67.09,Rupiah,218149
796673,92.76,Ruble,736044
319187,40.98,Yuan Renminbi,464673
657248,45.19,Peso,388015
781306,25.55,Sol,254489
969688,39.89,Tugrik,275779
117889,76.14,Yuan Renminbi,269491
309578,21.86,Bolivar,269491
119625,68.58,Manat,425587
870763,54.64,Ruble,735248
552934,13.78,Yuan Renminbi,726895
551299,78.26,Shekel,995569
833457,15.9,Denar,472877
747271,31.19,Dong,533344
367605,64.82,Peso,505002
583331,57.17,Peso,310811
308224,44.9,Tenge,577262
109403,8.58,Peso,896963
649313,34.11,Ruble,938629
935989,44.69,Lempira,681418
875910,34.2,Euro,468538
122874,67.0,Euro,386538
501904,57.44,Yuan Renminbi,774573
631437,93.63,Yuan Renminbi,574239
427634,67.7,Euro,250119
390815,74.92,Sol,895754
663757,73.6,Yuan Renminbi,875519
168274,99.3,Yuan Renminbi,388015
155367,21.94,Real,860955
616425,49.11,Zloty,388015
944940,43.35,Ruble,131388
965048,4.13,Baht,589680
492340,65.59,Dollar,325924
898752,95.36,Real,588539
685634,9.78,Franc,827376
784225,97.04,Yuan Renminbi,717697
295681,32.06,Zloty,853777
135101,59.34,Peso,254561
627334,74.21,Euro,383664
377946,77.43,Real,331368
300266,38.75,Yuan Renminbi,466498
421923,36.79,Rupiah,732617
600195,5.02,Yuan Renminbi,943691
383427,64.33,Yuan Renminbi,640296
214437,38.41,Koruna,260961
701648,87.68,Ruble,929063
495491,91.52,Euro,791446
281754,35.43,Forint,852830
521341,7.06,Real,962590
264408,13.57,Dinar,307970
822529,74.58,Franc,607219
458218,16.26,Peso,588539
343237,16.85,Zloty,896963
419804,24.84,Yuan Renminbi,683840
897300,99.18,Dollar,774573
756135,56.48,Yuan Renminbi,828627
659900,55.48,Krona,774573
929270,64.11,Zloty,260961
559693,77.19,Euro,364554
460725,7.79,Shilling,307970
404958,88.17,Ruble,111267
312795,35.92,Peso,244067
861548,88.82,Afghani,533344
671273,80.2,Yen,866022
478941,89.91,Peso,388015
182309,26.95,Baht,546596
226674,7.07,Yuan Renminbi,576780
416302,3.24,Ringgit,150230
978751,30.15,Yuan Renminbi,926686
963342,42.48,Yuan Renminbi,668430
666328,51.72,Rupiah,895754
693126,88.92,Kuna,677811
810880,76.93,Yuan Renminbi,454579
569708,22.57,Rupiah,680738
794946,56.25,Dram,254561
137533,50.84,Ruble,254489
